Id,Prediction
0,15
1,35
2,92
3,96
4,17
5,26
6,23
7,48
8,1
9,6
10,57
11,32
12,58
13,57
14,71
15,52
16,81
17,5
18,50
19,49
20,35
21,49
22,58
23,32
24,3
25,78
26,50
27,5
28,65
29,58
30,34
31,71
32,49
33,38
34,4
35,99
36,90
37,44
38,78
39,97
40,75
41,50
42,56
43,86
44,79
45,31
46,9
47,95
48,23
49,8
50,13
51,58
52,5
53,3
54,97
55,81
56,10
57,23
58,63
59,13
60,56
61,41
62,48
63,15
64,90
65,2
66,17
67,18
68,5
69,86
70,13
71,97
72,91
73,86
74,46
75,33
76,26
77,43
78,65
79,50
80,45
81,3
82,80
83,65
84,28
85,76
86,36
87,82
88,8
89,20
90,86
91,48
92,24
93,74
94,38
95,43
96,37
97,79
98,71
99,58
100,72
101,71
102,82
103,84
104,54
105,92
106,83
107,13
108,70
109,29
110,43
111,47
112,3
113,24
114,40
115,51
116,60
117,35
118,47
119,35
120,42
121,29
122,66
123,78
124,56
125,54
126,41
127,68
128,36
129,33
130,17
131,9
132,6
133,10
134,27
135,97
136,40
137,20
138,38
139,21
140,67
141,7
142,32
143,76
144,46
145,41
146,64
147,14
148,3
149,72
150,96
151,81
152,19
153,24
154,64
155,89
156,86
157,49
158,66
159,15
160,1
161,87
162,17
163,73
164,98
165,0
166,67
167,53
168,48
169,82
170,40
171,57
172,97
173,3
174,13
175,68
176,69
177,77
178,37
179,79
180,8
181,42
182,45
183,21
184,37
185,21
186,61
187,89
188,65
189,12
190,51
191,19
192,85
193,40
194,6
195,41
196,13
197,31
198,2
199,63
200,34
201,62
202,96
203,22
204,31
205,19
206,85
207,32
208,51
209,68
210,17
211,65
212,90
213,29
214,98
215,74
216,35
217,4
218,34
219,0
220,27
221,41
222,53
223,26
224,41
225,28
226,38
227,40
228,26
229,21
230,23
231,91
232,9
233,23
234,67
235,89
236,6
237,72
238,10
239,76
240,8
241,75
242,85
243,49
244,4
245,44
246,17
247,2
248,92
249,98
250,44
251,69
252,24
253,16
254,25
255,49
256,11
257,40
258,21
259,59
260,33
261,86
262,24
263,74
264,30
265,16
266,28
267,95
268,67
269,19
270,21
271,16
272,3
273,57
274,75
275,38
276,55
277,81
278,70
279,3
280,6
281,84
282,38
283,15
284,26
285,52
286,24
287,0
288,44
289,79
290,7
291,21
292,10
293,91
294,48
295,59
296,76
297,41
298,9
299,73
300,28
301,3
302,49
303,91
304,33
305,16
306,85
307,77
308,5
309,42
310,13
311,72
312,46
313,93
314,86
315,63
316,79
317,14
318,35
319,88
320,57
321,38
322,75
323,51
324,27
325,41
326,16
327,6
328,57
329,51
330,66
331,0
332,73
333,90
334,55
335,5
336,56
337,37
338,49
339,31
340,2
341,39
342,13
343,50
344,65
345,62
346,99
347,13
348,33
349,1
350,93
351,23
352,7
353,76
354,86
355,39
356,16
357,17
358,98
359,92
360,59
361,26
362,60
363,15
364,38
365,82
366,45
367,42
368,30
369,48
370,98
371,73
372,73
373,94
374,59
375,84
376,19
377,73
378,65
379,71
380,62
381,9
382,36
383,46
384,12
385,26
386,54
387,2
388,23
389,38
390,21
391,0
392,45
393,98
394,21
395,7
396,1
397,95
398,35
399,82
400,49
401,32
402,75
403,15
404,43
405,22
406,94
407,74
408,34
409,10
410,53
411,46
412,79
413,13
414,2
415,10
416,9
417,84
418,85
419,34
420,36
421,26
422,19
423,11
424,96
425,48
426,40
427,86
428,5
429,74
430,56
431,97
432,11
433,58
434,33
435,8
436,86
437,61
438,86
439,58
440,36
441,26
442,90
443,81
444,65
445,20
446,71
447,75
448,97
449,86
450,62
451,9
452,34
453,11
454,44
455,79
456,99
457,50
458,67
459,40
460,32
461,11
462,91
463,67
464,54
465,37
466,25
467,8
468,53
469,4
470,20
471,10
472,10
473,48
474,90
475,99
476,97
477,65
478,88
479,25
480,85
481,56
482,96
483,16
484,51
485,67
486,52
487,60
488,29
489,54
490,59
491,4
492,39
493,69
494,69
495,3
496,78
497,24
498,80
499,65
500,82
501,95
502,67
503,87
504,41
505,69
506,54
507,5
508,57
509,42
510,81
511,72
512,34
513,84
514,40
515,96
516,76
517,99
518,4
519,91
520,45
521,29
522,58
523,57
524,69
525,56
526,54
527,77
528,34
529,98
530,81
531,34
532,38
533,1
534,80
535,69
536,59
537,94
538,52
539,40
540,23
541,22
542,32
543,95
544,89
545,79
546,64
547,29
548,77
549,6
550,98
551,82
552,62
553,64
554,25
555,79
556,24
557,57
558,97
559,7
560,32
561,70
562,7
563,12
564,78
565,4
566,79
567,28
568,93
569,23
570,12
571,33
572,45
573,79
574,64
575,88
576,52
577,33
578,29
579,43
580,83
581,89
582,85
583,44
584,37
585,96
586,98
587,75
588,0
589,19
590,89
591,78
592,16
593,32
594,73
595,23
596,54
597,23
598,6
599,96
600,55
601,3
602,10
603,40
604,51
605,84
606,27
607,89
608,61
609,41
610,42
611,2
612,61
613,85
614,71
615,74
616,83
617,69
618,42
619,31
620,37
621,99
622,6
623,58
624,38
625,78
626,33
627,65
628,97
629,17
630,67
631,99
632,75
633,12
634,28
635,60
636,99
637,40
638,69
639,98
640,96
641,53
642,91
643,8
644,3
645,37
646,98
647,83
648,51
649,49
650,18
651,65
652,22
653,6
654,92
655,47
656,59
657,99
658,99
659,97
660,56
661,35
662,19
663,93
664,69
665,14
666,69
667,74
668,98
669,34
670,51
671,15
672,29
673,83
674,85
675,33
676,36
677,56
678,58
679,61
680,23
681,81
682,35
683,26
684,46
685,77
686,74
687,22
688,7
689,69
690,40
691,54
692,74
693,64
694,79
695,84
696,86
697,18
698,68
699,50
700,3
701,12
702,75
703,62
704,29
705,1
706,51
707,43
708,91
709,15
710,46
711,26
712,44
713,98
714,75
715,62
716,26
717,99
718,80
719,63
720,25
721,29
722,96
723,90
724,42
725,71
726,1
727,66
728,73
729,21
730,1
731,63
732,71
733,26
734,94
735,9
736,60
737,88
738,63
739,29
740,56
741,1
742,44
743,50
744,76
745,32
746,24
747,32
748,32
749,6
750,95
751,44
752,5
753,72
754,66
755,66
756,27
757,47
758,16
759,81
760,91
761,2
762,82
763,13
764,13
765,5
766,87
767,94
768,91
769,96
770,14
771,9
772,32
773,93
774,48
775,49
776,50
777,9
778,69
779,33
780,28
781,44
782,12
783,70
784,79
785,3
786,8
787,1
788,20
789,95
790,0
791,53
792,81
793,67
794,15
795,63
796,55
797,14
798,30
799,88
800,30
801,55
802,48
803,87
804,97
805,68
806,46
807,67
808,45
809,97
810,53
811,96
812,34
813,29
814,70
815,22
816,14
817,93
818,34
819,97
820,91
821,80
822,22
823,41
824,57
825,86
826,71
827,53
828,61
829,88
830,0
831,80
832,81
833,49
834,66
835,8
836,58
837,8
838,78
839,83
840,90
841,76
842,12
843,62
844,32
845,50
846,9
847,97
848,89
849,19
850,46
851,38
852,29
853,54
854,5
855,52
856,11
857,34
858,6
859,47
860,47
861,18
862,64
863,96
864,61
865,65
866,9
867,22
868,88
869,38
870,56
871,29
872,76
873,38
874,39
875,88
876,21
877,76
878,71
879,69
880,1
881,17
882,98
883,23
884,34
885,30
886,18
887,84
888,18
889,64
890,53
891,3
892,22
893,63
894,35
895,54
896,23
897,54
898,17
899,93
900,4
901,99
902,63
903,24
904,47
905,31
906,53
907,88
908,58
909,36
910,71
911,48
912,58
913,76
914,60
915,81
916,22
917,49
918,61
919,41
920,61
921,8
922,6
923,20
924,71
925,35
926,9
927,50
928,96
929,87
930,46
931,15
932,76
933,90
934,77
935,56
936,56
937,23
938,29
939,72
940,32
941,53
942,87
943,19
944,16
945,19
946,40
947,95
948,95
949,69
950,19
951,70
952,10
953,31
954,38
955,39
956,92
957,29
958,82
959,77
960,57
961,97
962,72
963,77
964,50
965,22
966,1
967,48
968,62
969,31
970,88
971,90
972,24
973,70
974,43
975,41
976,77
977,50
978,62
979,76
980,98
981,12
982,98
983,13
984,11
985,55
986,1
987,19
988,21
989,17
990,28
991,17
992,46
993,54
994,40
995,77
996,2
997,54
998,36
999,43
1000,2
1001,59
1002,35
1003,78
1004,70
1005,78
1006,28
1007,45
1008,96
1009,89
1010,44
1011,99
1012,18
1013,1
1014,72
1015,29
1016,61
1017,74
1018,16
1019,58
1020,90
1021,8
1022,61
1023,76
1024,31
1025,78
1026,37
1027,61
1028,99
1029,70
1030,75
1031,68
1032,85
1033,49
1034,7
1035,96
1036,35
1037,23
1038,19
1039,52
1040,65
1041,60
1042,93
1043,3
1044,14
1045,6
1046,25
1047,85
1048,49
1049,17
1050,69
1051,75
1052,68
1053,19
1054,31
1055,57
1056,23
1057,51
1058,14
1059,7
1060,6
1061,44
1062,29
1063,49
1064,4
1065,66
1066,1
1067,42
1068,88
1069,88
1070,10
1071,35
1072,29
1073,65
1074,7
1075,15
1076,0
1077,95
1078,43
1079,2
1080,88
1081,21
1082,68
1083,55
1084,61
1085,6
1086,60
1087,53
1088,76
1089,59
1090,21
1091,78
1092,91
1093,55
1094,73
1095,5
1096,78
1097,34
1098,66
1099,52
1100,7
1101,2
1102,48
1103,69
1104,23
1105,57
1106,41
1107,61
1108,99
1109,95
1110,87
1111,91
1112,92
1113,41
1114,99
1115,33
1116,72
1117,50
1118,89
1119,61
1120,42
1121,24
1122,50
1123,91
1124,7
1125,69
1126,39
1127,73
1128,30
1129,4
1130,53
1131,43
1132,84
1133,77
1134,35
1135,67
1136,51
1137,84
1138,30
1139,42
1140,9
1141,81
1142,25
1143,17
1144,67
1145,82
1146,0
1147,64
1148,72
1149,70
1150,7
1151,54
1152,97
1153,62
1154,57
1155,88
1156,34
1157,0
1158,9
1159,54
1160,6
1161,29
1162,24
1163,92
1164,71
1165,15
1166,60
1167,15
1168,6
1169,8
1170,34
1171,82
1172,36
1173,58
1174,35
1175,64
1176,25
1177,13
1178,68
1179,90
1180,5
1181,63
1182,56
1183,86
1184,32
1185,49
1186,10
1187,14
1188,1
1189,28
1190,55
1191,9
1192,71
1193,21
1194,80
1195,51
1196,73
1197,85
1198,85
1199,85
1200,35
1201,86
1202,12
1203,82
1204,28
1205,10
1206,55
1207,84
1208,4
1209,75
1210,72
1211,87
1212,66
1213,52
1214,16
1215,37
1216,6
1217,59
1218,89
1219,93
1220,34
1221,97
1222,22
1223,35
1224,93
1225,95
1226,40
1227,92
1228,48
1229,56
1230,83
1231,48
1232,29
1233,39
1234,57
1235,55
1236,74
1237,54
1238,18
1239,19
1240,10
1241,10
1242,49
1243,46
1244,54
1245,68
1246,78
1247,57
1248,29
1249,98
1250,61
1251,12
1252,15
1253,83
1254,92
1255,98
1256,97
1257,66
1258,13
1259,52
1260,11
1261,76
